rank;country;population2023;yearlychange;netchange;density;land area;migrants;fert.rate;medianage;urbanpop%;worldshare;population_share
233;Tokelau;1893;;22;189;10;0;2.6;27.0;;;2.353335599348952e-07
195;Tonga;107773;;915;150;720;-800;3.2;22.0;;;1.3398100240287089e-05
153;Trinidad and Tobago;1534937;;3893;299;5130;-800;1.6;36.0;;;0.00019081996222175817
79;Tunisia;12458223;;102106;80;155360;-4000;2.0;32.0;;;0.0015487786418662385
18;Turkey;85816199;;474958;112;769630;-318067;1.9;32.0;;;0.010668479456287053
111;Turkmenistan;6516100;;85330;14;469930;-4000;2.6;26.0;;;0.0008100670945017277
210;Turks and Caicos;46062;;359;48;950;200;1.6;38.0;;;5.726325640634518e-06
226;Tuvalu;11396;;84;380;30;-60;3.1;25.0;;;1.4167254352974462e-06
199;U.S. Virgin Islands;98750;;-715;282;350;-450;2.1;43.0;;;1.2276380899931802e-05
30;Uganda;48582334;;1332749;243;199810;-126181;4.4;16.0;;;0.006039647971561594
41;Ukraine;36744634;;-2957105;63;579320;1784718;1.3;45.0;;;0.004568011372279339
96;United Arab Emirates;9516871;;75742;114;83600;0;1.4;34.0;;;0.0011831162873064797
21;United Kingdom;67736802;;227866;280;241930;165790;1.6;40.0;;;0.008420888934635566
3;United States;339996563;;1706706;37;9147420;999700;1.7;38.0;;;0.04226761834993073
135;Uruguay;3423108;;314;20;175020;-1500;1.5;36.0;;;0.000425553191590924
43;Uzbekistan;35163944;;536292;83;425400;-19999;2.8;27.0;;;0.004371503498611357
183;Vanuatu;334506;;7766;27;12190;0;3.7;20.0;;;4.15850437398743e-05
52;Venezuela;28838499;;536803;33;882050;321106;2.2;28.0;;;0.0035851382106967325
16;Vietnam;98858950;;672094;319;310070;-82700;1.9;33.0;;;0.012289925322200638
225;Wallis & Futuna;11502;;-70;82;140;-119;1.9;37.0;;;1.4299031201115502e-06
172;Western Sahara;587259;;11273;2;266000;5600;2.2;32.0;;;7.300673590798025e-05
44;Yemen;34449825;;753211;65;527970;-29914;3.6;19.0;;;0.004282725808972081
63;Zambia;20569737;;552062;28;743390;-5000;4.2;17.0;;;0.0025571840650472958
74;Zimbabwe;16665409;;344872;43;386850;-9999;3.4;18.0;;;0.002071806670755965
